index,age,month,duration,campaign,y,job_management,job_self-employed,job_services,job_technician,job_unknown,marital_married,marital_unknown,education_basic.6y,education_professional.course,education_university.degree,education_unknown,loan_yes,contact_telephone,poutcome_nonexistent
0,49,11,227,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,37,11,202,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2,78,7,1148,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,36,5,120,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
4,59,6,368,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,29,8,256,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,26,8,449,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,30,11,126,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8,50,5,574,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
9,33,7,498,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,44,7,158,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,32,5,93,5,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
12,26,7,71,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
13,43,7,203,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
14,56,5,369,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,40,5,954,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16,32,8,105,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17,47,5,148,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
18,50,5,98,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
19,34,3,288,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
20,46,8,177,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
21,39,5,155,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22,41,7,141,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
23,30,5,144,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
