index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,y
0,49,blue-collar,married,basic.9y,unknown,no,no,cellular,nov,wed,227,4,nonexistent,no
1,37,entrepreneur,married,university.degree,no,no,no,telephone,nov,wed,202,2,failure,no
3,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,2,nonexistent,no
4,59,retired,divorced,university.degree,no,no,no,cellular,jun,tue,368,2,nonexistent,no
5,29,admin.,single,university.degree,no,no,no,cellular,aug,wed,256,2,nonexistent,no
6,26,student,single,basic.9y,no,no,no,telephone,aug,wed,449,1,nonexistent,yes
7,30,blue-collar,married,basic.4y,no,yes,no,cellular,nov,wed,126,2,nonexistent,no
8,50,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,574,1,nonexistent,no
9,33,admin.,single,high.school,no,yes,no,cellular,jul,tue,498,5,nonexistent,no
10,44,services,divorced,high.school,no,yes,no,cellular,jul,mon,158,5,nonexistent,no
11,32,technician,married,university.degree,no,yes,no,telephone,may,fri,93,5,nonexistent,no
12,26,self-employed,single,professional.course,no,yes,no,cellular,jul,thu,71,1,nonexistent,no
13,43,management,married,university.degree,no,no,yes,telephone,jul,thu,203,1,nonexistent,no
14,56,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,369,1,nonexistent,no
15,40,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,954,1,nonexistent,yes
16,32,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,105,1,nonexistent,no
17,47,technician,single,professional.course,unknown,no,no,telephone,may,tue,148,5,nonexistent,no
18,50,services,single,basic.4y,no,yes,no,telephone,may,tue,98,9,nonexistent,no
20,46,services,married,unknown,no,no,no,cellular,aug,tue,177,1,nonexistent,no
21,39,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,155,1,nonexistent,no
22,41,admin.,divorced,basic.6y,no,no,no,telephone,jul,mon,141,1,nonexistent,no
23,30,technician,single,unknown,no,yes,no,telephone,may,mon,144,3,nonexistent,no
25,33,blue-collar,single,basic.4y,no,yes,no,cellular,oct,fri,146,1,failure,no
26,46,services,married,high.school,no,no,no,cellular,apr,wed,325,2,nonexistent,no
27,38,blue-collar,divorced,high.school,no,yes,yes,cellular,nov,wed,291,1,nonexistent,no
28,36,admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,wed,103,1,nonexistent,no
29,30,technician,single,professional.course,no,yes,no,cellular,aug,thu,121,1,nonexistent,no
30,34,technician,single,high.school,no,no,no,telephone,jun,fri,236,7,nonexistent,no
31,63,retired,married,basic.4y,no,no,no,cellular,aug,thu,163,1,nonexistent,no
33,44,self-employed,divorced,professional.course,no,yes,yes,cellular,jun,thu,134,1,failure,no
34,55,retired,married,basic.4y,unknown,yes,yes,cellular,aug,wed,89,1,nonexistent,no
35,32,admin.,single,university.degree,no,no,no,cellular,may,fri,800,5,nonexistent,no
36,34,admin.,married,university.degree,no,no,no,cellular,jul,wed,266,1,nonexistent,no
37,33,self-employed,married,university.degree,no,no,no,telephone,may,tue,367,5,nonexistent,no
